YBBN	YCFS			189	41.79	38.99
	YGFN			158	36.99	34.40
	YLIS			96	27.38	25.21
	YBNA			28	16.85	15.14
	YBCG			59	21.65	19.73
	YARM			236	49.07	45.95
	YGLI			172	39.16	36.47
	YIVL			185	41.17	38.40
	YSPE			115	30.33	28.03
	YWCK			106	28.93	26.69
	YMOR			243	50.16	46.99
	YGDI			171	39.00	36.32
	YMLS			198	43.19	40.32
	YCCA			175	39.62	36.92
	YKRY			102	28.31	26.10
	YTAM			235	48.92	45.80
	YGAY			163	37.76	35.14
	YTNG			266	53.72	50.40
	YBUD			185	41.17	38.40
	YMYB			162	37.61	34.99
	YHBA			176	39.78	37.06
	YBSU			84	25.53	23.43
YSSY	YPMQ			209	44.89	41.95
	YCOM			221	46.75	43.73
	YSCB			178	40.09	37.36
	YGLB			111	29.71	27.43
	YCWR			163	37.76	35.14
	YPKS			221	46.75	43.73
	YORG			140	34.20	31.73
	YBTH			175	39.62	36.92
	YSDU			214	45.67	42.69
	YSCO			117	30.64	28.32
	YSTW			191	42.10	39.29
	YARM			214	45.67	42.69
	YGFN			298	58.68	55.14
	YNBR			255	52.02	48.77
	YCBB			194	42.57	39.73
	YSDU			249	51.09	47.88
	YMDG			179	40.24	37.51
	YMAY			286	56.82	53.36
	YSWG			214	45.67	42.69
	YMER			236	49.07	45.95
YMML	YHAY			214	45.67	42.69
	YDLQ			147	35.29	32.77
	YECH			93	26.92	24.77
	YMNG			78	24.60	22.55
	YSHT			114	30.17	27.88
	YNAR			225	47.37	44.32
	YCOR			158	36.99	34.40
	YBLA			126	32.03	29.66
	YWGT			116	30.48	28.18
	YMAY			154	36.37	33.80
	YSWG			210	45.05	42.10
	YCRG			205	44.27	41.36
	YHOT			139	34.05	31.58
	YLTV			130	32.65	30.25
	YFLI			251	51.40	48.17
	YDPO			249	51.09	47.88
	YMLT			282	56.20	52.77
	YWYY			243	50.16	46.99
	YKII			199	43.34	40.47
	YWBL			174	39.47	36.77
	YPOD			189	41.79	38.99
	YMTG			209	44.89	41.95
	YHML			203	43.96	41.06
	YBLT			70	23.36	21.36
	YARA			163	37.76	35.14
	YSWL			174	39.47	36.77
	YNRC			257	52.33	49.06
	YHSM			167	38.38	35.73
	YHNL			203	43.96	41.06
	YWKB			170	38.85	36.17
	YBDG			83	25.37	23.29
	YSWH			153	36.22	33.66
	YGTH			234	48.76	45.66
	YCOM			233	48.61	45.51
YPPH	YABA			230	48.14	45.06
	YBLN			162	37.61	34.99
	YGEL			229	47.99	44.91